Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Aguascalientes ",0.984058006,0.880601279,0.858472484,0.867100998,0.871879729,0.877458612,0.886801923,0.884504581,0.883828164,0.870931981,0.869613496
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Baja California ",2.735673441,2.51710016,2.415787866,2.405838929,2.314659725,2.261875591,2.232868544,2.232383173,2.316080891,2.30887072,2.326942594
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Baja California Sur ",0.786190421,0.768095857,0.796262524,0.798123587,0.797429359,0.811263273,0.808747751,0.778175992,0.765844268,0.792654987,0.798818117
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Campeche ",1.514048474,1.464475094,1.323080211,1.262001028,1.244095997,1.259956042,1.20436904,0.977012028,0.848344398,0.762731879,0.735510483
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Coahuila de Zaragoza ",3.596865305,3.607912044,3.638630153,3.673306301,3.785220842,3.77328797,3.832198441,3.824548586,3.859282432,4.10167625,4.140221229
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Colima ",0.80371376,0.771121141,0.82862957,0.872613847,0.888608279,0.898030919,0.91814207,0.932534652,0.954620229,0.994715458,1.031396253
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Chiapas ",1.578519416,1.50162344,1.396710283,1.367333777,1.360079103,1.317749072,1.31245891,1.256683483,1.213963892,1.113153603,1.05959447
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Chihuahua ",1.976228607,1.85821819,1.907308182,1.905712549,1.934100372,1.976366315,2.021290727,2.113999152,2.239876128,2.327836571,2.372098927
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Ciudad de M�xico ",21.59850888,21.86861774,21.49992289,21.28004518,21.29731457,21.45282103,21.2004306,21.4634856,21.39799907,21.43742814,21.25661976
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Durango ",1.416263989,1.367072521,1.368675971,1.323091266,1.269564348,1.245243078,1.243298745,1.216339914,1.251983261,1.234652492,1.228045414
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Guanajuato ",4.23234522,4.190146311,4.322221658,4.310978038,4.320937237,4.36298579,4.431208821,4.413876383,4.362626625,4.397419904,4.429379494
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Guerrero ",2.025096299,2.223520683,2.226401919,2.260771468,2.266392056,2.212853236,2.160102015,2.112611618,2.07076553,1.927274089,1.871952457
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Hidalgo ",1.68507216,1.70207196,1.856451175,1.855664037,1.856927843,1.969942067,2.033288307,2.089071504,2.1612878,2.241190688,2.286547862
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Jalisco ",4.925725263,4.932185975,4.942782167,4.873804674,4.867207496,4.921044819,4.970747637,5.055954396,5.146914146,5.113764704,5.214025374
,Actividades terciarias >  48-49 Transportes correos y almacenamiento M�xico ",7.273027209,7.29137185,7.372801103,7.404034533,7.506518309,7.540262913,7.633972426,7.647989235,8.032554239,8.215096135,8.630756012
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Michoac�n de Ocampo ",2.472798543,2.577041471,2.553246853,2.616898495,2.619989066,2.635205211,2.600159744,2.548854762,2.543321921,2.545866219,2.548271976
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Morelos ",1.364576029,1.378833499,1.351315016,1.376852164,1.409207622,1.337530273,1.283487286,1.270835392,1.282856569,1.222455116,1.211798785
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Nayarit ",0.49573841,0.476709986,0.44644217,0.462531892,0.450234136,0.447445507,0.447213585,0.451433021,0.451097721,0.432468372,0.420118492
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Nuevo Le�n ",9.826335588,9.265042339,9.490763065,9.718890633,10.03158222,9.990715086,10.16328338,10.34093173,10.18859252,10.40306058,10.40547911
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Oaxaca ",1.460020378,1.493745243,1.470450571,1.351606146,1.321924278,1.319485016,1.294073734,1.276819641,1.265595256,1.139045274,1.179632568
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Puebla ",3.733579923,3.753934121,3.728738352,3.719786473,3.727623115,3.751719712,3.703647347,3.704937233,3.650592606,3.559930755,3.490389183
,Actividades terciarias >  48-49 Transportes correos y almacenamiento Quer�taro ",3.157824881,3.612759154,3.41843531,3.195614418,2.860289846,2.749322455,2.682847234,2.515558537,2.477972658,2.417240105,2.352368078
